name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,TodayTopHits,26,2024-03-08
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,GardeLaPeche,6,2024-03-08
Your Apartment,Wallows,Your Apartment,2024-02-16,2F8GiqfSE1JSjLGHlHMmQa,https://i.scdn.co/image/ab67616d0000b273eb98ff66db63bf2f3c0a7a4c,ItsAllGood,17,2024-03-08
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,FutursHits,1,2024-03-08
Aimée pour de vrai (Héléna),Star Academy,L'album de la promo 2023,2024-03-01,5peFNKKLZUaOYE0c3qZNE1,https://i.scdn.co/image/ab67616d0000b273d9b8a8ac2dfc8f6f2ce90355,FutursHits,3,2024-03-08
Doctor (Work It Out) [feat. Miley Cyrus],"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],2024-03-01,4f9wNNZET9wH7eMBgONd3d,https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1,FutursHits,11,2024-03-08
Lovers In A Past Life (with Rag'n'Bone Man),"Calvin Harris, RagnBone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,https://i.scdn.co/image/ab67616d0000b273bb08484f74ca64acd08882a1,FutursHits,12,2024-03-08
Position,Franglish,Prime,2024-02-15,3Zw66L4FvI9YUUx17OReRD,https://i.scdn.co/image/ab67616d0000b273ecfbdb578028d4248ecdbe7d,FutursHits,14,2024-03-08
Friendly Fire,Linkin Park,Friendly Fire,2024-02-23,1rAzOr3zpUDRtN2zsqGHiG,https://i.scdn.co/image/ab67616d0000b27337d322b43b5f3aa0215fa0e1,FutursHits,18,2024-03-08
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,FutursHits,21,2024-03-08
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,VivaLatino,4,2024-03-08
